,feature,total_0,mean_0,total_1,mean_1,ratio
739,actually,21,0.001313649443262855,438,0.027351067815661295,20.82067476672197
858,af,5,0.0003127736769673464,82,0.005120519545397777,16.371325090545774
1208,amazing,11,0.0006881020893281622,98,0.006119645310353441,8.8935136301191
1443,anyone,6,0.0003753284123608157,111,0.006931434994379917,18.46765330335956
2295,based,9,0.0005629926185412236,380,0.023729236917697016,42.14839792958939
4064,celebrity,10,0.0006255473539346928,105,0.006556762832521544,10.48164106406894
4211,character,10,0.0006255473539346928,157,0.00980392156862745,15.672549019607844
4213,characters,2,0.00012510947078693858,83,0.005182964905707506,41.427438491320096
7334,eat,5,0.0003127736769673464,86,0.005370300986636693,17.169926314474836
8391,favorite,16,0.0010008757662955086,189,0.011802173098538779,11.791846197077557
9571,gifts,8,0.0005004378831477543,116,0.007243661795928563,14.47464718371425
10057,guess,1,6.255473539346929e-05,188,0.01173972773822905,187.67128762332956
10181,hair,10,0.0006255473539346928,104,0.006494317472211814,10.381815911077807
10705,hilarious,19,0.0011885399724759164,159,0.00992881228924691,8.353789118731637
12681,know,65,0.004066057800575504,648,0.040464593480704386,9.951799867423697
12966,laugh,5,0.0003127736769673464,113,0.007056325714999375,22.560484575996004
13781,makeup,5,0.0003127736769673464,106,0.006619208192831272,21.162932434120144
14996,movies,11,0.0006881020893281622,115,0.007181216435618833,10.436265994527515
15812,obsessed,6,0.0003753284123608157,84,0.005245410266017235,13.975521418758587
16787,perfectly,8,0.0005004378831477543,94,0.005869863869114525,11.729455476458098
16991,pictures,21,0.001313649443262855,213,0.013300861745972274,10.125122660529179
17456,potter,10,0.0006255473539346928,111,0.006931434994379917,11.080591982015736
17737,products,6,0.0003753284123608157,93,0.005807418508804796,15.472898713625579
18131,quiz,3,0.00018766420618040785,100,0.006244536030972899,33.275050997044254
18442,reasons,20,0.0012510947078693856,172,0.010740601973273386,8.584963157237418
18784,remember,11,0.0006881020893281622,125,0.007805670038716123,11.343767385355994
22314,swift,6,0.0003753284123608157,87,0.005432746346946422,14.47464718371425
22575,taylor,9,0.0005629926185412236,89,0.00555763706756588,9.871598462456461
22840,things,30,0.0018766420618040785,775,0.04839515424003996,25.788164522709295
23163,totally,11,0.0006881020893281622,112,0.006993880354689647,10.164015577278972
23775,understand,7,0.000437883147754285,168,0.01049082053203447,23.958036717871863
24674,ways,20,0.0012510947078693856,230,0.014362432871237667,11.479892593980267
